x;y
100;-85
100;-82
100;-79
100;-72
100;-69
99;-66
98;-64
96;-64
93;-64
92;-64
90;-64
84;-64
80;-64
76;-64
72;-64
68;-64
65;-63
61;-56
60;-53
58;-49
56;-45
52;-40
49;-37
46;-35
44;-32
39;-27
35;-27
31;-27
27;-27
19;-27
16;-27
12;-25
5;-18
2;-14
-1;-11
-4;-7
-11;-3
-15;-2
-18;0
-22;1
-30;4
-34;5
-39;7
-44;8
-53;11
-56;14
-56;17
-56;21
-56;25
-56;32
-56;35
-56;43
-56;46
-56;50
-56;54
-56;57
-56;57
-56;57
-56;57
-56;57
-56;57
-56;57
-56;57
-56;57
-56;57
-56;59
-56;62
-56;67
-56;69
-56;72
-56;72
-56;72
-56;72
-56;72
-56;72
-56;72
-56;72
-56;72
-56;72
-56;72
-58;72
-60;72
-63;72
-65;72
-67;72
-69;72
-72;72
-74;72
-79;72
-81;72
-82;73
-84;76
-85;80
-86;84
-89;91
-93;95
-95;95
-97;95
-99;95
-101;95
-105;95
-107;95
-109;95
-111;95
-115;95
-116;98
-116;103
-116;108
-116;112
-116;117
-116;123
